client,local accuracy
client134,0.5393258333206177
client135,0.7075471878051758
client136,0.5267857313156128
client137,0.712871253490448
client138,0.5765765905380249
client139,0.6542055606842041
client140,0.7575757503509521
client141,0.5978261232376099
client142,0.6666666865348816
client143,0.7999999523162842
client144,0.7368420958518982
client145,0.3482142984867096
client146,0.6761904954910278
client147,0.6557376384735107
client148,0.542553186416626
client149,0.650602400302887
client150,0.4639175236225128
client151,0.5142857432365417
client152,0.49532708525657654
client153,0.5454545617103577
client154,0.522522509098053
client155,0.6885245442390442
client156,0.5357142686843872
client157,0.73046875
client158,0.7129629850387573
client159,0.6428571939468384
client160,0.6779661178588867
client161,0.5377358794212341
client162,0.7142857313156128
client163,0.7131076455116272
client164,0.3958333432674408
client165,0.5322580337524414
client166,0.6590909361839294
client167,0.19140625
client168,0.5901638865470886
client169,0.5810810923576355
client170,0.5714285969734192
client171,0.5862069129943848
client172,0.47959181666374207
client173,0.5777778029441833
client174,0.7083333730697632
client175,0.5454545617103577
client176,0.5875000357627869
client177,0.8510637879371643
client178,0.6025640964508057
client179,0.7828125357627869
client180,0.6935483813285828
client181,0.6953125
client182,0.5789473652839661
client183,0.6931818127632141
client184,0.7692307829856873
client185,0.5769230723381042
client186,0.5833333134651184
client187,0.49074074625968933
client188,0.7042253613471985
client189,0.6385542154312134
client190,0.78125
client191,0.6734693646430969
client192,0.5922330021858215
client193,0.6019417643547058
client194,0.6203703880310059
client195,0.5338982939720154
client196,0.6415094137191772
client197,0.5344827771186829
client198,0.663636326789856
client199,0.6233766078948975
client200,0.22265625
client201,0.523809552192688
client202,0.6962171196937561
client203,0.5346534848213196
client204,0.6294642686843872
client205,0.7692307829856873
client206,0.5728155374526978
client207,0.5242718458175659
client208,0.530434787273407
client209,0.4637681245803833
client210,0.7250000238418579
client211,0.7108433246612549
client212,0.7262073755264282
client213,0.8813559412956238
client214,0.8076923489570618
client215,0.5428571701049805
client216,0.6930803656578064
client217,0.5899999737739563
client218,0.5229357481002808
client219,0.5250000357627869
client220,0.523809552192688
client221,0.5950412750244141
client222,0.6981534361839294
client223,0.47252747416496277
client224,0.6018518805503845
client225,0.49462366104125977
client226,0.5272727012634277
client227,0.7037037014961243
client228,0.5047619342803955
client229,0.5308641791343689
client230,0.4471544623374939
client231,0.8108108043670654
client232,0.9432291984558105
client233,0.6915887594223022
client234,0.5196078419685364
client235,0.7090908885002136
client236,0.6725663542747498
client237,0.6746987700462341
client238,0.49056604504585266
client239,0.7401574850082397
client240,0.6376811861991882
client241,0.7657657861709595
